Subject,Trial,Gain,Loss,GainOnLeft,Fontsize,Choice,RT,AcceptKey,EV
1,1,8,7,1,1,1,2.1551693000365,2,0.5
1,2,8,9,1,0,0,0.944437199970707,2,-0.5
1,3,6,7,0,1,0,1.12798469990958,2,-0.5
1,4,6,7,0,0,0,1.22576489998028,2,-0.5
1,5,7,7,1,1,0,0.771500999922864,2,0
1,6,8,4,1,1,1,1.3176801999798,2,2
1,7,4,6,0,0,0,1.3126700000139,2,-1
1,8,4,4,0,1,0,0.945705700083636,2,0
1,9,6,3,0,1,1,0.830731600057334,2,1.5
1,10,9,8,1,1,1,1.05961150000803,2,0.5
1,11,9,8,1,0,1,1.67451599997003,2,0.5
1,12,6,6,1,0,1,0.888511400087737,2,0
1,13,3,9,1,1,0,0.87070629990194,2,-3
1,14,3,3,0,1,0,0.899964199983515,2,0
1,15,4,4,0,0,0,0.971470499993302,2,0
1,16,3,9,1,0,0,1.59857889998239,2,-3
1,17,7,6,0,1,1,1.28256710001733,2,0.5
1,18,8,3,0,1,1,0.90339769993443,2,2.5
1,19,4,5,1,0,0,1.09153720003087,2,-0.5
1,20,3,5,1,0,0,1.05858119996265,2,-1
1,21,5,4,0,0,0,0.863534300005995,2,0.5
1,22,3,7,0,1,0,1.16661199997179,2,-2
1,23,3,4,0,1,0,0.882208399940282,2,-0.5
1,24,8,9,1,1,1,0.820041499915533,2,-0.5
1,25,3,6,1,0,0,1.22270620008931,2,-1.5
1,26,7,4,0,0,1,1.25008449994493,2,1.5
1,27,9,5,1,1,1,0.923870099941269,2,2
1,28,5,5,0,1,1,1.01807969994843,2,0
1,29,4,6,0,1,0,1.46100170002319,2,-1
1,30,7,6,0,0,1,1.85945370001718,2,0.5
1,31,8,5,0,1,1,0.826536000007764,2,1.5
1,32,9,3,0,1,1,0.772428900003433,2,3
1,33,4,9,0,1,0,0.884865500032902,2,-2.5
1,34,3,5,1,1,0,2.0121613999363,2,-1
1,35,5,3,0,1,1,1.01915319997352,2,1
1,36,9,4,1,0,1,1.26284620002843,2,2.5
1,37,7,3,0,1,1,0.951349799986929,2,2
1,38,7,9,1,1,0,1.00183749990538,2,-1
1,39,9,4,1,1,1,0.952549699926749,2,2.5
1,40,5,3,0,0,0,1.30453500000294,2,1
1,41,5,7,0,1,0,1.42006149992812,2,-1
1,42,5,7,0,0,0,1.77455750002991,2,-1
1,43,9,6,0,1,1,1.04070420004427,2,1.5
1,44,4,3,1,0,1,1.38559940003324,2,0.5
1,45,9,3,0,0,1,1.92811680003069,2,3
1,46,3,3,0,0,0,1.11662509990856,2,0
1,47,8,4,1,0,1,0.847973699914292,2,2
1,48,4,8,0,1,0,1.04246600007173,2,-2
1,49,8,6,0,0,1,1.53506509994622,2,1
1,50,9,9,1,1,0,1.16966499993578,2,0
1,51,5,6,0,1,0,1.24012710002717,2,-0.5
1,52,7,3,0,0,1,0.981692399946041,2,2
1,53,7,8,0,1,0,1.245401400025,2,-0.5
1,54,4,5,1,1,0,2.16064769995864,2,-0.5
1,55,4,7,0,1,0,1.0956593999872,2,-1.5
1,56,6,5,0,0,0,1.66124669997953,2,0.5
1,57,5,9,1,0,0,1.00092320004478,2,-2
1,58,4,9,0,0,0,0.828415299998596,2,-2.5
1,59,7,5,0,0,0,0.885084200068377,2,1
1,60,6,5,0,1,0,0.936994000105187,2,0.5
